facility,survey_item,response,auditor_assigned_category,re_assigned_response,translated,original_language
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"Your events have become so popular that it is like a city-wide affair but in a small building compared to people. I think this shows your success. How can we better plan the growth to continue welcoming people with enough space, making sure it still serves Asian American constituents at the center.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,Could use more parking,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"was very impressed when I attended a Diversity Forum and asked for a mother's room to pump in and they converted a space with a locking door, sign, and a basket of helpful supplies - way to be prepared!",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"(1) There is optional additional parking in the city parking lot next door BUT there is no easy way to get from the parking to the center. Right now you have to walk all the way to the street and do a big loop. There is a ditch in between the two places and I think if there were a few spots cleared of poison ivy and brambles people could walk through the ditch if they wanted to.

(2) I have been to at least 4 events here in the past two years. I always enjoy the events! The space is a little small and I think it would benfit the events there to find a better way to use the out side space to extend the events. (Like maybe some benches and picnic tables outside)",Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"A well planned, designed, executed and operated facility.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,rooms should accommodate small to medium size groups,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,I don't like the idea of building more parking lots but they have to use the lot down the block for big events. I think the transportation options are OK but is the city putting more busses and routes for asian-american communities?Space is well-maintained and I'd like to see more money for them to upgrade/restore some systems now that the building is over 7 years old. I am excited for the expansion to have a REAL THEATRE!!! Would like to see colocation with social service organizations too if there is demand,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"I like the building and its grounds, especially the grounds.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"We do understand that due to budget constraint, compromise had to be made in terms of size of the center",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,Wonderful to have the AARC!,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,Austin has extremely very poor transportation for a city of its size,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"(1) The parking can be tough especially the walk from overflow parking.

(2) I love the center.  I just wish it weren’t so far away.",Negative,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"Regarding parking, I was attending an event with family and friends. Because the event was so popular, we had to park in the overflow parking area which was fine, but this was an example of how much more space the Center would need in the future. There is certainly room for growth and expansion.",Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"We have leased rooms a few times with no problems, had kind staff, and very helpful.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"The non-driving options to get to the facility aren't great. It's practically across the street from the Rundberg high-frequency transit corridor, but getting that last little bit is hard and not pleasant.",Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,I like this center a lot.,Positive,False,True,Spanish
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,parking at this center during events can caus traffic accidents on cameron.  having additional parking across the street makes it dangerous for drivers on cameron.  the lemming effect.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"(1) Please consider opening a center in Northwest Austin.  The Northwest center on 2222, charges fees for the majority of their classes unlike AARC or the Gus Garcia center.

(2) I believe more outside agencies would rent the spaces specifically the ballroom if the renter did not have to vacuum, put tables and take the garbage out.",Suggestion,True,False,English
